INSTNM,STABBR,REGION,C200_4,RET_FT4_POOLED,ADM_RATE_ALL,C150_4,UGDS,PCTFLOAN,TRANS_4_POOLED,CCUGPROF,CONTROL,CCSIZSET,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,SD_EARN_WNE_P10,AVGFACSAL,INC_PCT_LO,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN
Jacksonville State University,AL,5,0.3451,0.7602,0.54021648626144,0.3721,6622,0.6466,0,13,1,13,NULL,NULL,NULL,NULL,NULL,35800,21000,48600,25500,6960,0.4226415094,0.245626072,0.3637702504
Jefferson Davis Community College,AL,5,NULL,NULL,NULL,NULL,720,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,26200,13400,41900,23600,6173,0.7308377897,0.3975044563,0.5217391304
Jefferson State Community College,AL,5,NULL,NULL,NULL,NULL,7052,0.1889,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,30600,16300,46100,24100,6451,0.542864222,0.4192269574,0.4502907782
John C Calhoun State Community College,AL,5,NULL,NULL,NULL,NULL,8247,0.2379,NULL,1,1,4,NULL,NULL,NULL,NULL,NULL,28000,14700,44100,24000,6479,0.5484314174,0.3698190978,0.455343703
Judson College,AL,5,0.4118,0.6233,0.50704225352112,0.32,315,0.6626,0.1845,9,2,7,14129,15119,17003,22215,20549,26100,13600,39500,22400,5932,0.6708229426,0.6309226933,0.4137931034
Lawson State Community College,AL,5,NULL,NULL,NULL,NULL,3034,0,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,23400,12300,36500,20200,6035,0.77929374,0.356741573,0.4747231584
University of West Alabama,AL,5,0.2802,0.657,0.28207904710341,0.3324,2106,0.6461,0.3027,11,1,13,NULL,NULL,NULL,NULL,NULL,37400,22900,52100,26800,6711,0.5456896552,0.2181034483,0.403210576
Lurleen B Wallace Community College,AL,5,NULL,NULL,NULL,NULL,1354,0,NULL,2,1,2,NULL,NULL,NULL,NULL,NULL,26500,15500,40700,24400,6303,0.7092264678,0.3252562908,0.5203426124
Marion Military Institute,AL,5,NULL,NULL,0.55868544600938,NULL,444,0.4706,NULL,4,1,1,NULL,NULL,NULL,NULL,NULL,42700,PrivacySuppressed,PrivacySuppressed,27500,4647,0.4122340426,0.1755319149,0.2338028169
Miles College,AL,5,0.2143,0.5276,NULL,0.213,1647,0.9253,0,11,2,11,15306,16032,17610,19610,19076,26500,15300,39700,20100,4444,0.7231638418,0.1730225989,0.4164588529
University of Mobile,AL,5,0.4474,0.698,0.47019423978566,0.4476,1276,0.7616,0.0333,13,2,11,13658,15179,19386,23266,24736,35200,22300,50800,25700,4938,0.4047619048,0.3267195767,0.3242857143
University of Montevallo,AL,5,0.4621,0.7536,0.64454732510288,0.503,2329,0.5791,0.2885,13,1,11,NULL,NULL,NULL,NULL,NULL,34200,20400,46800,23300,7451,0.3714285714,0.1438423645,0.3252375924
Northwest-Shoals Community College,AL,5,NULL,NULL,NULL,NULL,2698,0.2481,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,25600,13600,42600,23600,4895,0.6214251091,0.3431895298,0.5141117875
University of North Alabama,AL,5,0.406,0.7543,0.70219198790627,0.4454,5771,0.7101,0.3197,13,1,13,NULL,NULL,NULL,NULL,NULL,37800,23400,54400,33500,7567,0.4009287926,0.1679566563,0.36326024
Northeast Alabama Community College,AL,5,NULL,NULL,NULL,NULL,1983,0,NULL,2,1,2,NULL,NULL,NULL,NULL,NULL,27900,15000,43000,23000,4898,0.6157779401,0.3447772096,0.5827759197
Oakwood University,AL,5,0.467,0.7194,0.4706833805095,0.4715,1623,0.7273,0,10,2,11,24317,24763,25907,29725,25673,29700,15500,51100,33800,4902,0.4322344322,0.1794871795,0.17623498
Alabama Southern Community College,AL,5,NULL,NULL,NULL,NULL,765,0,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,25500,14500,40600,29200,6213,0.7633769322,0.192627824,0.5160839161
Reid State Technical College,AL,5,NULL,NULL,NULL,NULL,285,0,NULL,2,1,1,NULL,NULL,NULL,NULL,NULL,22000,12500,36300,20900,6177,0.825613079,0.5776566757,0.5903225806
Bishop State Community College,AL,5,NULL,NULL,NULL,NULL,2623,0,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,22800,13600,38300,21600,6258,0.8368376787,0.417157275,0.4853977845
Samford University,AL,5,0.7493,0.8783,0.83193277310924,0.7581,3364,0.3245,0,14,2,14,22537,24258,27927,30035,31943,49900,31700,75500,47300,8580,0.2184579439,0.1285046729,0.1380552221
Selma University,AL,5,1,0.5592,NULL,0.0179,311,0.9295,0,7,2,6,12237,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,2900,0.8,0.5355932203,0.6194331984
Shelton State Community College,AL,5,NULL,NULL,NULL,NULL,4230,0,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,27100,15000,41300,31000,4690,0.7429048414,0.3101001669,0.4763044519
Snead State Community College,AL,5,NULL,NULL,NULL,NULL,1891,0.246,NULL,2,1,2,NULL,NULL,NULL,NULL,NULL,27800,14800,42000,21700,6934,0.5849056604,0.3675992193,0.5326251897
University of South Alabama,AL,5,0.405,0.7533,0.82078670735842,0.4007,10712,0.5335,0.3455,13,1,16,NULL,NULL,NULL,NULL,NULL,37800,22200,57000,45500,7203,0.4252947481,0.2006430868,0.334257975
Spring Hill College,AL,5,0.5324,0.7747,0.4568117977528,0.5254,1375,0.7581,0,12,2,11,19104,15551,20653,21629,23846,45100,27400,63100,39500,6643,0.247706422,0.0519877676,0.2516339869
Stillman College,AL,5,0.2827,0.4396,0.48116338083154,0.2822,633,0.8631,0,15,2,8,17708,18395,18691,19382,19548,28200,16000,41500,58200,4641,0.6949740035,0.1351819757,0.4105058366
Talladega College,AL,5,0.3792,0.571,NULL,0.498,782,0.9704,0.1191,11,2,8,16563,7112,12865,NULL,NULL,21900,12200,32000,16600,5471,0.6823770492,0.2008196721,0.3980582524
H Councill Trenholm State Community College,AL,5,NULL,NULL,NULL,NULL,1610,0,NULL,2,1,2,NULL,NULL,NULL,NULL,NULL,23100,13900,37100,20500,5811,0.7815975733,0.4459049545,0.4304399524
Troy University,AL,5,0.369,0.7208,0.88122709379666,0.39,13634,0.6182,0.2139,7,1,15,NULL,NULL,NULL,NULL,NULL,37000,22400,52900,33300,6444,0.4893582453,0.446303818,0.3898457122
Tuskegee University,AL,5,0.4578,0.6931,0.50319343065693,0.5193,2833,0.652,0.1529,10,2,14,32296,33503,33596,34166,NULL,35500,20200,58800,30400,4753,0.4152091255,0.055513308,0.2306438468
United States Sports Academy,AL,5,NULL,NULL,NULL,NULL,88,0.4267,NULL,5,2,6,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5732,0.4929577465,0.8028169014,PrivacySuppressed
Bevill State Community College,AL,5,NULL,NULL,NULL,NULL,3029,0,NULL,2,1,3,NULL,NULL,NULL,NULL,NULL,28100,14900,43300,22400,6476,0.7304261645,0.3979187314,0.5308083663
University of Alaska Anchorage,AK,8,0.3188,0.6983,0.82831001076426,0.2431,11332,0.2311,0.1983,5,1,15,NULL,NULL,NULL,NULL,NULL,45400,24300,68300,38000,9248,0.4450184502,0.4964329643,0.3891938746
Alaska Bible College,AK,8,NULL,0.5333,NULL,0.5714,31,0.275,0,10,2,8,NULL,14995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3403,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
University of Alaska Fairbanks,AK,8,0.474,0.7626,0.76701410177805,0.3018,4910,0.2247,0.2207,5,1,13,NULL,NULL,NULL,NULL,NULL,38700,19900,59000,44100,9617,0.4166198765,0.5306007861,0.3988326848
University of Alaska Southeast,AK,8,0.3226,0.6286,0.71046770601336,0.2408,1214,0.1796,0.2506,5,1,9,NULL,NULL,NULL,NULL,NULL,36000,19500,55200,27700,8395,0.4269005848,0.5828460039,0.3951434879
Alaska Pacific University,AK,8,0.5789,0.6447,0.86,0.5294,247,0.4832,0.28,7,2,7,14643,15765,21037,21001,20789,40200,23900,60500,31100,5833,0.4178082192,0.4589041096,PrivacySuppressed
AVTEC-Alaska's Institute of Technology,AK,8,NULL,NULL,NULL,NULL,967,0.0611,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,35300,12900,68900,38800,NULL,0.606741573,0.5674157303,0.4413793103
Charter College,WA,8,0.2388,0.6,NULL,0.4749,2640,0.6648,0,10,3,9,30175,31000,32333,35096,34732,39800,23200,61100,33400,4612,0.6753588033,0.7402466141,0.5540401441
Alaska Career College,AK,8,NULL,NULL,NULL,NULL,430,0.7645,NULL,4,3,1,19182,20118,NULL,NULL,NULL,31200,15500,45000,21100,4224,0.5977564103,0.7083333333,0.4767726161
Empire Beauty School-Tucson,AZ,6,NULL,NULL,NULL,NULL,118,0.6927,NULL,-2,3,-2,12743,13108,15940,18323,18323,20300,12500,32700,22400,NULL,0.7503751876,0.6228114057,0.5698717949
Thunderbird School of Global Management,AZ,6,NULL,NULL,0.77806917266267,NULL,NULL,NULL,NULL,-2,1,-2,NULL,NULL,NULL,NULL,NULL,118000,72000,166600,111400,17289,0.4241983308,0.4304304854,0.3813179205
American Institute of Trucking,AZ,6,NULL,NULL,NULL,NULL,244,0.7568,NULL,-2,3,-2,16351,16998,NULL,17302,19688,33400,18000,47800,22600,NULL,0.6811492642,0.9236159776,0.6649323621
Carrington College-Phoenix North,AZ,6,NULL,NULL,0.52561247216035,NULL,519,0.4833,NULL,4,3,2,18565,19421,21259,22728,23419,25400,13700,36000,21000,3939,0.7046770601,0.6369710468,0.5548350719
Carrington College-Mesa,AZ,6,NULL,NULL,0.52561247216035,NULL,500,0.5453,NULL,4,3,1,18613,17231,21559,23430,23430,25400,13700,36000,21000,4942,0.7046770601,0.6369710468,0.5548350719
Carrington College-Tucson,AZ,6,NULL,NULL,0.52561247216035,NULL,269,0.5242,NULL,-2,3,-2,18517,17375,22115,23000,NULL,25400,13700,36000,21000,3514,0.7046770601,0.6369710468,0.5548350719
CollegeAmerica-Flagstaff,AZ,6,0.2222,0.8,NULL,0.2893,78,0.7921,0.0314,10,2,6,26533,28919,30731,NULL,NULL,23900,13400,35200,23200,7012,0.8023133544,0.6750788644,0.5845272206
Arizona Academy of Beauty-East,AZ,6,NULL,NULL,NULL,NULL,54,0.5462,NULL,-2,3,-2,10755,NULL,12210,NULL,NULL,15300,PrivacySuppressed,PrivacySuppressed,16900,NULL,0.7232142857,0.7767857143,0.5053763441
Platt College-Arizona Automotive Institute Arizona,AZ,6,NULL,NULL,NULL,NULL,785,0.7637,NULL,-2,3,-2,28191,29301,31385,33759,34050,35300,19400,50400,30200,NULL,0.7356509144,0.7160963245,0.5862318841
Brookline College-Phoenix,AZ,6,0.1772,0.4444,NULL,0.2565,1056,0.6357,0,5,3,6,29355,29998,27787,29352,NULL,21900,10900,33100,17200,5874,0.755242227,0.769703543,0.5590327169
Arizona State University-Tempe,AZ,6,0.6839,0.8623,0.77806917266267,0.6335,42181,0.3875,0,15,1,16,NULL,NULL,NULL,NULL,NULL,47700,31400,71200,44200,11348,0.4241983308,0.4304304854,0.3813179205
Arizona Western College,AZ,6,NULL,NULL,NULL,NULL,6879,0.0246,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,27700,15400,41700,24600,6698,0.6378205128,0.3301282051,0.6107646866
University of Arizona,AZ,6,0.6309,0.8179,0.83578314686979,0.6361,33428,0.392,0,11,1,15,NULL,NULL,NULL,NULL,NULL,47300,30600,71700,45300,10928,0.3634462932,0.1624705985,0.3140729569
Southwest University of Visual Arts-Tucson,AZ,6,0.8462,0.8542,NULL,0.5833,125,0.9242,0.0463,11,3,6,27034,27566,NULL,NULL,NULL,30200,15300,44900,23100,5549,0.5148514851,0.3168316832,0.4
Central Arizona College,AZ,6,NULL,NULL,NULL,NULL,4822,0.1237,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,26500,14500,42300,24200,6344,0.5832214765,0.4610738255,0.498192045
Brown Mackie College-Tucson,AZ,6,0.3333,NULL,NULL,0.275,100,0.8596,0,11,3,6,NULL,NULL,NULL,NULL,NULL,29400,16900,42500,20300,3096,0.7125425653,0.6569239501,0.4887650235
Charles of Italy Beauty College,AZ,6,NULL,NULL,NULL,NULL,51,0.6154,NULL,-2,3,-2,9863,10701,11342,14074,14074,16100,PrivacySuppressed,PrivacySuppressed,22200,NULL,0.7631578947,0.7236842105,0.4923076923
Cochise County Community College District,AZ,6,NULL,NULL,NULL,NULL,3528,0.0679,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,28500,16000,45700,27100,6411,0.6522753792,0.4218203034,0.4862385321
Empire Beauty School-Flagstaff,AZ,6,NULL,NULL,NULL,NULL,37,0.6552,NULL,-2,3,-2,11295,14988,13331,NULL,NULL,18500,9900,30700,17600,NULL,0.7286228623,0.6183618362,0.5013912076
Empire Beauty School-Chandler,AZ,6,NULL,NULL,NULL,NULL,66,0.6981,NULL,-2,3,-2,12917,11904,7313,NULL,NULL,18500,9900,30700,17600,NULL,0.7286228623,0.6183618362,0.5013912076
Cortiva Institute-Tucson,AZ,6,NULL,NULL,NULL,NULL,79,0.8922,NULL,-2,3,-2,19876,21417,22124,22304,NULL,22100,12800,36600,20600,NULL,0.6812652068,0.6812652068,0.4969512195
Avalon School of Cosmetology-Mesa,AZ,6,NULL,NULL,NULL,NULL,298,0.547,NULL,-2,3,-2,11858,14110,15097,16585,NULL,19000,11900,32000,17000,NULL,0.594887684,0.5290472502,0.4886052871
Eastern Arizona College,AZ,6,NULL,NULL,NULL,NULL,3729,0,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,29200,15400,51500,27200,8063,0.6458797327,0.4469190794,0.3934707904
Embry-Riddle Aeronautical University-Prescott,AZ,6,0.6132,0.8557,0.73711734693877,0.596,2598,0.4775,0,14,2,10,29413,28366,31593,33243,35827,66200,40500,91100,44700,9069,0.3650488547,0.5582252122,0.3554592721
School of Architecture at Taliesin,AZ,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1250,NULL,NULL,NULL
Glendale Community College,AZ,6,NULL,NULL,NULL,NULL,14609,0.1267,NULL,1,1,5,NULL,NULL,NULL,NULL,NULL,34500,19600,50700,27200,7362,0.6224055692,0.4358643806,0.529686243
Grand Canyon University,AZ,6,0.3453,0.657,0.66921243966518,0.4075,48666,0.5831,0,5,3,15,17804,18812,21586,22765,22726,52700,31800,79200,40900,6482,0.489019389,0.7471183479,0.4744080533
GateWay Community College,AZ,6,NULL,NULL,NULL,NULL,4365,0.1977,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,34100,17600,54000,29100,6934,0.6496503497,0.6486013986,0.5662280702
Mesa Community College,AZ,6,NULL,NULL,NULL,NULL,15759,0.1564,NULL,1,1,5,NULL,NULL,NULL,NULL,NULL,36000,19900,55100,32500,7647,0.6070407898,0.4922057677,0.4578514912
Mohave Community College,AZ,6,NULL,NULL,NULL,NULL,2875,0.1272,NULL,1,1,2,NULL,NULL,NULL,NULL,NULL,27500,13300,45200,25900,6883,0.6813898704,0.593639576,0.5360896987
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,6,NULL,NULL,NULL,NULL,1020,0.5178,NULL,-2,3,-2,15979,17378,19733,20981,21198,38700,24100,54400,28400,NULL,0.5391521197,0.463840399,0.5109021804
Dine College,AZ,6,NULL,NULL,NULL,0.1327,1363,0,0.348,7,1,9,NULL,NULL,NULL,NULL,NULL,21000,9600,33400,18300,5379,0.7264021888,0.4377564979,0.4318936877
Northern Arizona University,AZ,6,0.5431,0.7569,0.80846101694915,0.5529,26974,0.469,0,11,1,16,NULL,NULL,NULL,NULL,NULL,40100,25700,57600,31600,8239,0.3699922058,0.3418550273,0.3868625756
Northland Pioneer College,AZ,6,NULL,NULL,NULL,NULL,1453,0,NULL,1,1,2,NULL,NULL,NULL,NULL,NULL,25200,12900,40200,34200,6057,0.7040816327,0.6224489796,0.4664371773
Ottawa University-Phoenix,AZ,6,NULL,NULL,0.8045045045045,NULL,329,0.5967,NULL,7,2,6,NULL,NULL,NULL,NULL,NULL,41500,27600,59700,39600,6714,0.3986928105,0.6496732026,0.4008683068
Phoenix College,AZ,6,NULL,NULL,NULL,NULL,9147,0.1669,NULL,1,1,4,NULL,NULL,NULL,NULL,NULL,31900,18000,46700,30600,7432,0.6662269129,0.5124387486,0.6157552397
Cortiva Institute-Scottsdale,AZ,6,NULL,NULL,NULL,NULL,82,0.9034,NULL,-2,3,-2,17876,18692,19509,20103,NULL,21900,10700,39200,19900,NULL,0.6153846154,0.7582417582,0.4756097561
Pima Community College,AZ,6,NULL,NULL,NULL,NULL,20165,0.0983,NULL,1,1,5,NULL,NULL,NULL,NULL,NULL,30900,17300,46000,26000,5439,0.6496415771,0.4344758065,0.4776079734
Pima Medical Institute-Tucson,AZ,6,0.8421,0.4665,NULL,0.686,2300,0.6358,0.0082,10,3,9,21775,21876,22524,23561,NULL,28800,15100,40200,22900,5624,0.6241371287,0.6248351819,0.5053929122
Pima Medical Institute-Albuquerque,NM,6,NULL,NULL,NULL,NULL,820,0.7329,NULL,4,3,2,18251,18373,19047,20427,NULL,28800,15100,40200,22900,6063,0.6241371287,0.6248351819,0.5053929122
Prescott College,AZ,6,0.3043,0.7195,0.95261845386533,0.4355,350,0.6189,0.1805,13,2,7,15994,29324,22255,20292,29967,33200,16700,44800,23200,4936,0.5217391304,0.5458937198,0.2319587629
Refrigeration School Inc,AZ,6,NULL,NULL,NULL,NULL,732,0.6631,NULL,4,3,2,22879,22931,22993,24604,26246,41500,25800,61000,29700,4099,0.6369668246,0.8009478673,0.5225653207
Rio Salado College,AZ,6,NULL,NULL,NULL,NULL,6086,0.1143,NULL,1,1,4,NULL,NULL,NULL,NULL,NULL,39500,21400,60000,31200,6813,0.6259338314,0.8110992529,0.4732347428
Roberto-Venn School of Luthiery,AZ,6,NULL,NULL,NULL,NULL,24,0.4068,NULL,-2,3,-2,21350,NULL,NULL,NULL,NULL,24000,PrivacySuppressed,PrivacySuppressed,18600,NULL,0.5555555556,0.5555555556,PrivacySuppressed
Hair Academy of Safford,AZ,6,NULL,NULL,NULL,NULL,38,0.4655,NULL,-2,3,-2,9471,NULL,NULL,NULL,NULL,10800,PrivacySuppressed,PrivacySuppressed,17900,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Scottsdale Community College,AZ,6,NULL,NULL,NULL,NULL,6025,0.1105,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,35600,18200,56600,43000,7309,0.6221180148,0.488862837,0.4023349798
South Mountain Community College,AZ,6,NULL,NULL,NULL,NULL,3167,0.1471,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,30200,17100,42800,26600,7381,0.6521537749,0.4427975915,0.5895117541
Arizona Christian University,AZ,6,0.375,0.6407,0.64440734557596,0.4694,696,0.5902,0.2105,11,2,7,23151,24514,22595,24145,24291,32200,PrivacySuppressed,PrivacySuppressed,28100,5187,0.4311740891,0.2226720648,0.3825503356
Universal Technical Institute of Arizona Inc,AZ,6,NULL,NULL,NULL,NULL,1860,0.616,NULL,4,3,2,19186,18960,21956,23282,23160,45200,29500,63000,28700,5179,0.5049416991,0.331815658,0.5486053576
Western International University,AZ,6,0.0625,0.2131,NULL,0.0739,597,0.09,0,0,3,6,5418,4740,6740,9753,NULL,35000,18100,56000,37900,5923,0.5416666667,0.9285714286,0.5081585082
Empire Beauty School-NW Phoenix,AZ,6,NULL,NULL,NULL,NULL,109,0.7427,NULL,-2,3,-2,13570,14755,15234,17142,NULL,18200,8100,28800,15100,NULL,0.7436725902,0.6235864297,0.5524523161
Yavapai College,AZ,6,NULL,NULL,NULL,NULL,4682,0.0938,NULL,1,1,3,NULL,NULL,NULL,NULL,NULL,28800,15400,46100,25300,7146,0.6875262495,0.6119277614,0.5
University of Arkansas at Little Rock,AR,5,0.3183,0.6891,0.74632527264106,0.3199,6677,0.4261,0.2178,9,1,12,NULL,NULL,NULL,NULL,NULL,34900,20200,52100,30900,7425,0.5283068093,0.4677798069,0.3910404624
University of Arkansas for Medical Sciences,AR,5,NULL,NULL,NULL,NULL,633,0.5925,NULL,7,1,10,NULL,NULL,NULL,NULL,NULL,61000,40800,91300,42100,9546,0.4975,0.6725,0.3950276243
Arkansas Baptist College,AR,5,0.0781,0.3606,NULL,0.1933,593,0.7882,0.3784,11,2,8,17508,17650,19941,20555,21762,21800,PrivacySuppressed,PrivacySuppressed,15300,4340,0.776,0.24,0.4495289367
Arkansas Beauty School-Little Rock,AR,5,NULL,NULL,NULL,NULL,129,0.6796,NULL,-2,3,-2,19034,NULL,NULL,NULL,NULL,14000,PrivacySuppressed,PrivacySuppressed,12500,NULL,0.8563535912,0.817679558,0.5540540541
Arkansas Beauty College,AR,5,NULL,NULL,NULL,NULL,27,0.6757,NULL,-2,3,-2,10089,10553,13476,14187,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,0.6136363636,0.5909090909,0.5294117647
